team_1,team_2,date,score_1,score_2,posse_1,posse_2,acerto_1,acerto_2,chutes_1,chutes_2,defesas_1,defesas_2,y_cards_1,y_cards_2,r_cards_1,r_cards_2,faltas_1,faltas_2,escanteios_1,escanteios_2,cruzamentos_1,cruzamentos_2,contatos_1,contatos_2,jogada_aerea_1,jogada_aerea_2,defesas_1,defesas_2,impedimento_1,impedimento_2,tiro_meta_1,tiro_meta_2,lateral_1,lateral_2,home_away,league
LeicesterCity,WestHamUnited," sábado Novembro 12, 2022",2,0,0.46,0.54,0.77,0.76,0.63,0.33,25,10,1,3,0,0,8,9,2,7,8,19,588,637,12,21,25,10,0,2,12,3,25,29,away,Premier
NottinghamForest,CrystalPalace," sábado Novembro 12, 2022",1,0,0.32,0.68,0.68,0.85,0.22,0.0,26,15,1,4,0,0,11,13,1,5,15,19,422,754,9,14,26,15,3,0,7,10,21,23,home,Premier
CrystalPalace,NottinghamForest," sábado Novembro 12, 2022",0,1,0.68,0.32,0.85,0.68,0.0,0.22,15,26,4,1,0,0,13,11,5,1,19,15,754,422,14,9,15,26,0,3,10,7,23,21,away,Premier
NewcastleUnited,Chelsea," sábado Novembro 12, 2022",1,0,0.49,0.51,0.81,0.82,0.3,0.4,15,21,4,2,0,0,14,11,5,3,21,17,595,620,16,6,15,21,3,0,7,5,23,20,home,Premier
Chelsea,NewcastleUnited," sábado Novembro 12, 2022",0,1,0.51,0.49,0.82,0.81,0.4,0.3,21,15,2,4,0,0,11,14,3,5,17,21,620,595,6,16,21,15,0,3,5,7,20,23,away,Premier
WolverhamptonWanderers,Arsenal," sábado Novembro 12, 2022",0,2,0.38,0.62,0.77,0.86,0.18,0.21,24,10,3,2,0,0,5,6,6,4,15,23,468,708,20,9,24,10,3,1,8,5,18,12,home,Premier
Arsenal,WolverhamptonWanderers," sábado Novembro 12, 2022",2,0,0.62,0.38,0.86,0.77,0.21,0.18,10,24,2,3,0,0,6,5,4,6,23,15,708,468,9,20,10,24,1,3,5,8,12,18,away,Premier
Brighton&HoveAlbion,AstonVilla," domingo Novembro 13, 2022",1,2,0.65,0.35,0.83,0.72,0.29,0.14,7,34,2,7,0,0,14,11,11,4,26,4,685,442,10,8,7,34,3,1,4,8,27,20,home,Premier
AstonVilla,Brighton&HoveAlbion," domingo Novembro 13, 2022",2,1,0.35,0.65,0.72,0.83,0.14,0.29,34,7,7,2,0,0,11,14,4,11,4,26,442,685,8,10,34,7,1,3,8,4,20,27,away,Premier
Fulham,ManchesterUnited," domingo Novembro 13, 2022",1,2,0.53,0.47,0.76,0.78,0.5,0.64,11,38,1,1,0,0,9,10,10,3,30,13,618,603,11,17,11,38,1,2,5,0,20,15,home,Premier
ManchesterUnited,Fulham," domingo Novembro 13, 2022",2,1,0.47,0.53,0.78,0.76,0.64,0.5,38,11,1,1,0,0,10,9,3,10,13,30,603,618,17,11,38,11,2,1,0,5,15,20,away,Premier
Brentford,TottenhamHotspur," segunda-feira Dezembro 26, 2022",2,2,0.39,0.61,0.62,0.78,0.44,0.53,25,20,3,1,0,0,11,10,6,5,13,26,496,699,13,27,25,20,1,5,3,5,16,24,home,Premier
TottenhamHotspur,Brentford," segunda-feira Dezembro 26, 2022",2,2,0.61,0.39,0.78,0.62,0.53,0.44,20,25,1,3,0,0,10,11,5,6,26,13,699,496,27,13,20,25,5,1,5,3,24,16,away,Premier
Southampton,Brighton&HoveAlbion," segunda-feira Dezembro 26, 2022",1,3,0.34,0.66,0.76,0.86,0.23,0.57,17,12,1,2,0,0,9,10,4,2,16,12,484,813,14,16,17,12,0,1,4,4,23,21,home,Premier
Brighton&HoveAlbion,Southampton," segunda-feira Dezembro 26, 2022",3,1,0.66,0.34,0.86,0.76,0.57,0.23,12,17,2,1,0,0,10,9,2,4,12,16,813,484,16,14,12,17,1,0,4,4,21,23,away,Premier
LeicesterCity,NewcastleUnited," segunda-feira Dezembro 26, 2022",0,3,0.6,0.4,0.81,0.75,0.25,0.36,13,23,0,0,0,0,9,6,5,5,16,9,755,546,11,19,13,23,3,1,7,5,23,21,home,Premier
NewcastleUnited,LeicesterCity," segunda-feira Dezembro 26, 2022",3,0,0.4,0.6,0.75,0.81,0.36,0.25,23,13,0,0,0,0,6,9,5,5,9,16,546,755,19,11,23,13,1,3,5,7,21,23,away,Premier
CrystalPalace,Fulham," segunda-feira Dezembro 26, 2022",0,3,0.36,0.64,0.75,0.83,0.0,0.43,37,3,2,0,1,0,12,15,1,7,5,37,521,792,4,10,37,3,1,2,5,4,11,19,home,Premier
Fulham,CrystalPalace," segunda-feira Dezembro 26, 2022",3,0,0.64,0.36,0.83,0.75,0.43,0.0,3,37,0,2,0,1,15,12,7,1,37,5,792,521,10,4,3,37,2,1,4,5,19,11,away,Premier
Everton,WolverhamptonWanderers," segunda-feira Dezembro 26, 2022",1,2,0.58,0.42,0.83,0.74,0.42,0.57,17,20,1,6,0,0,9,22,2,2,17,10,664,520,12,12,17,20,1,2,5,6,20,28,home,Premier
WolverhamptonWanderers,Everton," segunda-feira Dezembro 26, 2022",2,1,0.42,0.58,0.74,0.83,0.57,0.42,20,17,6,1,0,0,22,9,2,2,10,17,520,664,12,12,20,17,2,1,6,5,28,20,away,Premier
AstonVilla,Liverpool," segunda-feira Dezembro 26, 2022",1,3,0.48,0.52,0.79,0.81,0.5,0.56,15,24,0,0,0,0,7,12,0,6,19,14,627,677,5,8,15,24,3,3,12,3,14,15,home,Premier
Liverpool,AstonVilla," segunda-feira Dezembro 26, 2022",3,1,0.52,0.48,0.81,0.79,0.56,0.5,24,15,0,0,0,0,12,7,6,0,14,19,677,627,8,5,24,15,3,3,3,12,15,14,away,Premier
Arsenal,WestHamUnited," segunda-feira Dezembro 26, 2022",3,1,0.66,0.34,0.87,0.74,0.31,0.43,14,22,0,2,0,0,13,17,7,5,25,12,796,452,15,15,14,22,3,0,2,7,10,15,home,Premier
WestHamUnited,Arsenal," segunda-feira Dezembro 26, 2022",1,3,0.34,0.66,0.74,0.87,0.43,0.31,22,14,2,0,0,0,17,13,5,7,12,25,452,796,15,15,22,14,0,3,7,2,15,10,away,Premier
Chelsea,Bournemouth," terça-feira Dezembro 27, 2022",2,0,0.6,0.4,0.86,0.78,0.33,0.44,28,15,0,0,0,0,8,10,6,8,16,21,709,509,8,11,28,15,3,0,6,9,11,14,home,Premier
Bournemouth,Chelsea," terça-feira Dezembro 27, 2022",0,2,0.4,0.6,0.78,0.86,0.44,0.33,15,28,0,0,0,0,10,8,8,6,21,16,509,709,11,8,15,28,0,3,9,6,14,11,away,Premier
ManchesterUnited,NottinghamForest," terça-feira Dezembro 27, 2022",3,0,0.65,0.35,0.85,0.68,0.47,0.38,25,23,3,1,0,0,13,4,9,9,16,24,792,483,7,6,25,23,1,2,5,7,15,23,home,Premier
NottinghamForest,ManchesterUnited," terça-feira Dezembro 27, 2022",0,3,0.35,0.65,0.68,0.85,0.38,0.47,23,25,1,3,0,0,4,13,9,9,24,16,483,792,6,7,23,25,2,1,7,5,23,15,away,Premier
LeedsUnited,ManchesterCity," quarta-feira Dezembro 28, 2022",1,3,0.31,0.69,0.73,0.87,0.11,0.35,20,10,3,3,0,0,11,14,3,5,8,12,450,830,5,7,20,10,0,1,9,6,17,24,home,Premier
ManchesterCity,LeedsUnited," quarta-feira Dezembro 28, 2022",3,1,0.69,0.31,0.87,0.73,0.35,0.11,10,20,3,3,0,0,14,11,5,3,12,8,830,450,7,5,10,20,1,0,6,9,24,17,away,Premier
WestHamUnited,Brentford," sexta-feira Dezembro 30, 2022",0,2,0.63,0.37,0.83,0.75,0.25,0.67,10,39,1,0,0,0,9,5,8,1,41,7,734,501,17,14,10,39,0,0,6,16,27,14,home,Premier
Brentford,WestHamUnited," sexta-feira Dezembro 30, 2022",2,0,0.37,0.63,0.75,0.83,0.67,0.25,39,10,0,1,0,0,5,9,1,8,7,41,501,734,14,17,39,10,0,0,16,6,14,27,away,Premier
Liverpool,LeicesterCity," sexta-feira Dezembro 30, 2022",2,1,0.57,0.43,0.81,0.78,0.24,0.29,10,22,0,1,0,0,8,15,4,5,27,10,741,613,7,8,10,22,2,5,6,12,19,14,home,Premier
LeicesterCity,Liverpool," sexta-feira Dezembro 30, 2022",1,2,0.43,0.57,0.78,0.81,0.29,0.24,22,10,1,0,0,0,15,8,5,4,10,27,613,741,8,7,22,10,5,2,12,6,14,19,away,Premier
WolverhamptonWanderers,ManchesterUnited," sábado Dezembro 31, 2022",0,1,0.46,0.54,0.75,0.8,0.3,0.38,11,22,1,3,0,0,11,11,7,5,18,13,558,651,7,10,11,22,1,2,6,0,18,18,home,Premier
ManchesterUnited,WolverhamptonWanderers," sábado Dezembro 31, 2022",1,0,0.54,0.46,0.8,0.75,0.38,0.3,22,11,3,1,0,0,11,11,5,7,13,18,651,558,10,7,22,11,2,1,0,6,18,18,away,Premier
NewcastleUnited,LeedsUnited," sábado Dezembro 31, 2022",0,0,0.6,0.4,0.75,0.65,0.31,0.13,10,23,3,5,0,0,13,19,9,3,23,6,594,462,15,12,10,23,3,0,3,13,34,16,home,Premier
LeedsUnited,NewcastleUnited," sábado Dezembro 31, 2022",0,0,0.4,0.6,0.65,0.75,0.13,0.31,23,10,5,3,0,0,19,13,3,9,6,23,462,594,12,15,23,10,0,3,13,3,16,34,away,Premier
Fulham,Southampton," sábado Dezembro 31, 2022",2,1,0.62,0.38,0.79,0.66,0.14,0.33,23,17,0,1,0,0,8,13,4,4,12,9,758,522,13,19,23,17,1,0,6,7,30,30,home,Premier
Southampton,Fulham," sábado Dezembro 31, 2022",1,2,0.38,0.62,0.66,0.79,0.33,0.14,17,23,1,0,0,0,13,8,4,4,9,12,522,758,19,13,17,23,0,1,7,6,30,30,away,Premier
ManchesterCity,Everton," sábado Dezembro 31, 2022",1,1,0.74,0.26,0.87,0.75,0.19,0.5,8,36,3,4,0,0,13,14,7,1,32,10,791,377,9,7,8,36,3,2,0,5,27,11,home,Premier
Everton,ManchesterCity," sábado Dezembro 31, 2022",1,1,0.26,0.74,0.75,0.87,0.5,0.19,36,8,4,3,0,0,14,13,1,7,10,32,377,791,7,9,36,8,2,3,5,0,11,27,away,Premier
Bournemouth,CrystalPalace," sábado Dezembro 31, 2022",0,2,0.59,0.41,0.75,0.67,0.33,0.4,16,25,4,1,0,0,17,11,2,7,20,15,643,521,13,12,16,25,1,1,6,5,41,29,home,Premier
CrystalPalace,Bournemouth," sábado Dezembro 31, 2022",2,0,0.41,0.59,0.67,0.75,0.4,0.33,25,16,1,4,0,0,11,17,7,2,15,20,521,643,12,13,25,16,1,1,5,6,29,41,away,Premier
Brighton&HoveAlbion,Arsenal," sábado Dezembro 31, 2022",2,4,0.68,0.32,0.85,0.73,0.56,0.5,6,24,3,3,0,0,7,11,7,4,24,6,738,415,12,8,6,24,5,0,3,6,26,13,home,Premier
Arsenal,Brighton&HoveAlbion," sábado Dezembro 31, 2022",4,2,0.32,0.68,0.73,0.85,0.5,0.56,24,6,3,3,0,0,11,7,4,7,6,24,415,738,8,12,24,6,0,5,6,3,13,26,away,Premier
TottenhamHotspur,AstonVilla," domingo Janeiro 1, 2023",0,2,0.59,0.41,0.84,0.79,0.17,0.31,9,23,4,3,0,0,15,10,5,3,23,6,715,555,10,7,9,23,1,0,4,7,21,21,home,Premier
AstonVilla,TottenhamHotspur," domingo Janeiro 1, 2023",2,0,0.41,0.59,0.79,0.84,0.31,0.17,23,9,3,4,0,0,10,15,3,5,6,23,555,715,7,10,23,9,0,1,7,4,21,21,away,Premier
NottinghamForest,Chelsea," domingo Janeiro 1, 2023",1,1,0.29,0.71,0.73,0.89,0.42,0.29,15,20,2,2,0,0,16,14,1,2,12,10,401,829,6,7,15,20,2,2,4,5,21,20,home,Premier
Chelsea,NottinghamForest," domingo Janeiro 1, 2023",1,1,0.71,0.29,0.89,0.73,0.29,0.42,20,15,2,2,0,0,14,16,2,1,10,12,829,401,7,6,20,15,2,2,5,4,20,21,away,Premier
Brentford,Liverpool," segunda-feira Janeiro 2, 2023",3,1,0.28,0.72,0.49,0.81,0.7,0.31,37,16,1,3,0,0,5,8,4,9,14,27,413,827,15,16,37,16,7,4,4,4,14,28,home,Premier
Liverpool,Brentford," segunda-feira Janeiro 2, 2023",1,3,0.72,0.28,0.81,0.49,0.31,0.7,16,37,3,1,0,0,8,5,9,4,27,14,827,413,16,15,16,37,4,7,4,4,28,14,away,Premier
LeicesterCity,Fulham," terça-feira Janeiro 3, 2023",0,1,0.6,0.4,0.8,0.73,0.4,0.18,15,32,2,6,0,0,12,11,6,3,24,15,708,526,13,10,15,32,0,1,9,9,25,27,home,Premier
Fulham,LeicesterCity," terça-feira Janeiro 3, 2023",1,0,0.4,0.6,0.73,0.8,0.18,0.4,32,15,6,2,0,0,11,12,3,6,15,24,526,708,10,13,32,15,1,0,9,9,27,25,away,Premier
Everton,Brighton&HoveAlbion," terça-feira Janeiro 3, 2023",1,4,0.49,0.51,0.85,0.85,0.33,0.42,16,14,3,1,0,0,8,10,5,2,22,9,631,642,4,13,16,14,1,0,8,7,16,20,home,Premier
Brighton&HoveAlbion,Everton," terça-feira Janeiro 3, 2023",4,1,0.51,0.49,0.85,0.85,0.42,0.33,14,16,1,3,0,0,10,8,2,5,9,22,642,631,13,4,14,16,0,1,7,8,20,16,away,Premier
Arsenal,NewcastleUnited," terça-feira Janeiro 3, 2023",0,0,0.66,0.34,0.84,0.69,0.24,0.13,22,27,4,5,0,0,10,16,5,5,16,18,676,418,12,16,22,27,1,4,5,12,13,11,home,Premier
NewcastleUnited,Arsenal," terça-feira Janeiro 3, 2023",0,0,0.34,0.66,0.69,0.84,0.13,0.24,27,22,5,4,0,0,16,10,5,5,18,16,418,676,16,12,27,22,4,1,12,5,11,13,away,Premier
ManchesterUnited,Bournemouth," terça-feira Janeiro 3, 2023",3,0,0.58,0.42,0.83,0.78,0.33,0.57,11,23,0,3,0,0,13,7,6,5,18,16,706,550,6,9,11,23,0,2,2,8,14,10,home,Premier
Bournemouth,ManchesterUnited," terça-feira Janeiro 3, 2023",0,3,0.42,0.58,0.78,0.83,0.57,0.33,23,11,3,0,0,0,7,13,5,6,16,18,550,706,9,6,23,11,2,0,8,2,10,14,away,Premier
Sampdoria,Atalanta," sábado Agosto 13, 2022",0,2,0.55,0.45,0.76,0.77,0.09,0.33,4,19,4,6,0,0,13,21,3,2,19,9,514,509,15,8,4,19,1,2,4,10,23,18,home,Italy-A
Atalanta,Sampdoria," sábado Agosto 13, 2022",2,0,0.45,0.55,0.77,0.76,0.33,0.09,19,4,6,4,0,0,21,13,2,3,9,19,509,514,8,15,19,4,2,1,10,4,18,23,away,Italy-A
Milan,Udinese," sábado Agosto 13, 2022",4,2,0.59,0.41,0.83,0.8,0.31,0.44,5,21,1,4,0,0,16,13,5,1,21,11,624,486,5,12,5,21,0,1,2,10,21,14,home,Italy-A
Udinese,Milan," sábado Agosto 13, 2022",2,4,0.41,0.59,0.8,0.83,0.44,0.31,21,5,4,1,0,0,13,16,1,5,11,21,486,624,12,5,21,5,1,0,10,2,14,21,away,Italy-A
Monza,Torino," sábado Agosto 13, 2022",1,2,0.54,0.46,0.81,0.78,0.27,0.46,14,10,1,2,0,0,6,17,2,7,14,16,586,518,8,7,14,10,1,5,4,7,16,14,home,Italy-A
Torino,Monza," sábado Agosto 13, 2022",2,1,0.46,0.54,0.78,0.81,0.46,0.27,10,14,2,1,0,0,17,6,7,2,16,14,518,586,7,8,10,14,5,1,7,4,14,16,away,Italy-A
Lecce,Internazionale," sábado Agosto 13, 2022",1,2,0.3,0.7,0.71,0.83,0.4,0.47,39,9,4,2,0,0,21,19,6,8,13,32,398,752,14,14,39,9,2,3,7,6,11,22,home,Italy-A
Internazionale,Lecce," sábado Agosto 13, 2022",2,1,0.7,0.3,0.83,0.71,0.47,0.4,9,39,2,4,0,0,19,21,8,6,32,13,752,398,14,14,9,39,3,2,6,7,22,11,away,Italy-A
Fiorentina,Cremonese," domingo Agosto 14, 2022",3,2,0.74,0.26,0.86,0.6,0.39,0.31,11,25,0,3,0,1,10,19,11,4,35,13,728,332,27,13,11,25,1,1,3,6,15,10,home,Italy-A
Cremonese,Fiorentina," domingo Agosto 14, 2022",2,3,0.26,0.74,0.6,0.86,0.31,0.39,25,11,3,0,1,0,19,10,4,11,13,35,332,728,13,27,25,11,1,1,6,3,10,15,away,Italy-A
Lazio,Bologna," domingo Agosto 14, 2022",2,1,0.42,0.58,0.79,0.85,0.67,0.2,10,18,2,6,1,0,11,18,3,2,10,10,439,586,7,9,10,18,3,2,5,5,21,18,home,Italy-A
Bologna,Lazio," domingo Agosto 14, 2022",1,2,0.58,0.42,0.85,0.79,0.2,0.67,18,10,6,2,0,1,18,11,2,3,10,10,586,439,9,7,18,10,2,3,5,5,18,21,away,Italy-A
Spezia,Empoli," domingo Agosto 14, 2022",1,0,0.41,0.59,0.73,0.77,0.22,0.28,32,15,2,1,0,0,15,8,6,4,21,28,536,691,3,9,32,15,3,1,5,7,18,32,home,Italy-A
Empoli,Spezia," domingo Agosto 14, 2022",0,1,0.59,0.41,0.77,0.73,0.28,0.22,15,32,1,2,0,0,8,15,4,6,28,21,691,536,9,3,15,32,1,3,7,5,32,18,away,Italy-A
Salernitana,Roma," domingo Agosto 14, 2022",0,1,0.51,0.49,0.83,0.82,0.15,0.2,12,9,3,2,0,0,18,9,4,2,11,9,571,556,7,11,12,9,1,3,11,8,13,19,home,Italy-A
Roma,Salernitana," domingo Agosto 14, 2022",1,0,0.49,0.51,0.82,0.83,0.2,0.15,9,12,2,3,0,0,9,18,2,4,9,11,556,571,11,7,9,12,3,1,8,11,19,13,away,Italy-A
HellasVerona,Napoli," segunda-feira Agosto 15, 2022",2,5,0.34,0.66,0.69,0.84,0.5,0.32,20,11,2,2,0,0,15,6,4,8,14,20,383,657,9,20,20,11,1,2,10,5,11,17,home,Italy-A
Napoli,HellasVerona," segunda-feira Agosto 15, 2022",5,2,0.66,0.34,0.84,0.69,0.32,0.5,11,20,2,2,0,0,6,15,8,4,20,14,657,383,20,9,11,20,2,1,5,10,17,11,away,Italy-A
Juventus,Sassuolo," segunda-feira Agosto 15, 2022",3,0,0.42,0.58,0.82,0.88,0.23,0.37,18,10,1,3,0,0,7,5,3,2,11,14,512,645,5,7,18,10,4,2,3,12,14,21,home,Italy-A
Sassuolo,Juventus," segunda-feira Agosto 15, 2022",0,3,0.58,0.42,0.88,0.82,0.37,0.23,10,18,3,1,0,0,5,7,2,3,14,11,645,512,7,5,10,18,2,4,12,3,21,14,away,Italy-A
Torino,Lazio," sábado Agosto 20, 2022",0,0,0.54,0.46,0.82,0.77,0.1,0.29,10,17,0,5,0,0,11,12,6,4,16,9,608,525,18,16,10,17,4,0,4,6,19,12,home,Italy-A
Lazio,Torino," sábado Agosto 20, 2022",0,0,0.46,0.54,0.77,0.82,0.29,0.1,17,10,5,0,0,0,12,11,4,6,9,16,525,608,16,18,17,10,0,4,6,4,12,19,away,Italy-A
Udinese,Salernitana," sábado Agosto 20, 2022",0,0,0.48,0.52,0.74,0.79,0.13,0.35,22,17,2,4,1,0,9,12,6,6,11,26,527,588,12,11,22,17,0,1,10,8,32,21,home,Italy-A
Salernitana,Udinese," sábado Agosto 20, 2022",0,0,0.52,0.48,0.79,0.74,0.35,0.13,17,22,4,2,0,1,12,9,6,6,26,11,588,527,11,12,17,22,1,0,8,10,21,32,away,Italy-A
Internazionale,Spezia," sábado Agosto 20, 2022",3,0,0.54,0.46,0.86,0.83,0.42,0.0,8,17,0,0,0,0,11,7,10,4,21,11,649,555,5,6,8,17,5,1,7,3,18,27,home,Italy-A
Spezia,Internazionale," sábado Agosto 20, 2022",0,3,0.46,0.54,0.83,0.86,0.0,0.42,17,8,0,0,0,0,7,11,4,10,11,21,555,649,6,5,17,8,1,5,3,7,27,18,away,Italy-A
Sassuolo,Lecce," sábado Agosto 20, 2022",1,0,0.59,0.41,0.85,0.78,0.25,0.14,13,23,5,1,0,0,14,12,5,4,13,20,627,505,7,11,13,23,0,4,9,7,30,17,home,Italy-A
Lecce,Sassuolo," sábado Agosto 20, 2022",0,1,0.41,0.59,0.78,0.85,0.14,0.25,23,13,1,5,0,0,12,14,4,5,20,13,505,627,11,7,23,13,4,0,7,9,17,30,away,Italy-A
Empoli,Fiorentina," domingo Agosto 21, 2022",0,0,0.37,0.63,0.73,0.84,0.5,0.11,26,9,1,3,1,0,13,11,1,9,6,29,421,621,12,7,26,9,1,1,9,3,13,22,home,Italy-A
Fiorentina,Empoli," domingo Agosto 21, 2022",0,0,0.63,0.37,0.84,0.73,0.11,0.5,9,26,3,1,0,1,11,13,9,1,29,6,621,421,7,12,9,26,1,1,3,9,22,13,away,Italy-A
Napoli,Monza," domingo Agosto 21, 2022",4,0,0.54,0.46,0.88,0.83,0.23,0.25,18,14,2,1,0,0,11,13,10,4,18,17,633,528,11,4,18,14,1,0,4,4,13,17,home,Italy-A
Monza,Napoli," domingo Agosto 21, 2022",0,4,0.46,0.54,0.83,0.88,0.25,0.23,14,18,1,2,0,0,13,11,4,10,17,18,528,633,4,11,14,18,0,1,4,4,17,13,away,Italy-A
Bologna,HellasVerona," domingo Agosto 21, 2022",1,1,0.52,0.48,0.72,0.67,0.29,0.16,26,17,3,3,1,0,10,14,9,8,16,26,513,470,11,18,26,17,1,5,9,11,22,16,home,Italy-A
HellasVerona,Bologna," domingo Agosto 21, 2022",1,1,0.48,0.52,0.67,0.72,0.16,0.29,17,26,3,3,0,1,14,10,8,9,26,16,470,513,18,11,17,26,5,1,11,9,16,22,away,Italy-A
Atalanta,Milan," domingo Agosto 21, 2022",1,1,0.4,0.6,0.79,0.84,0.18,0.39,20,6,4,3,0,0,15,6,4,6,14,19,484,663,11,13,20,6,0,3,12,5,15,23,home,Italy-A
Milan,Atalanta," domingo Agosto 21, 2022",1,1,0.6,0.4,0.84,0.79,0.39,0.18,6,20,3,4,0,0,6,15,6,4,19,14,663,484,13,11,6,20,3,0,5,12,23,15,away,Italy-A
Roma,Cremonese," segunda-feira Agosto 22, 2022",1,0,0.49,0.51,0.77,0.76,0.41,0.21,20,10,0,3,0,0,7,14,5,6,14,27,545,546,20,6,20,10,1,1,14,2,18,16,home,Italy-A
Cremonese,Roma," segunda-feira Agosto 22, 2022",0,1,0.51,0.49,0.76,0.77,0.21,0.41,10,20,3,0,0,0,14,7,6,5,27,14,546,545,6,20,10,20,1,1,2,14,16,18,away,Italy-A
Sampdoria,Juventus," segunda-feira Agosto 22, 2022",0,0,0.48,0.52,0.81,0.85,0.1,0.4,11,10,3,2,0,0,8,14,3,4,6,14,454,563,12,11,11,10,1,3,9,7,24,13,home,Italy-A
Juventus,Sampdoria," segunda-feira Agosto 22, 2022",0,0,0.52,0.48,0.85,0.81,0.4,0.1,10,11,2,3,0,0,14,8,4,3,14,6,563,454,11,12,10,11,3,1,7,9,13,24,away,Italy-A
Monza,Udinese," sexta-feira Agosto 26, 2022",1,2,0.56,0.44,0.88,0.81,0.5,0.27,15,10,3,2,0,0,16,10,3,5,13,12,617,505,11,11,15,10,4,4,4,7,19,19,home,Italy-A
Udinese,Monza," sexta-feira Agosto 26, 2022",2,1,0.44,0.56,0.81,0.88,0.27,0.5,10,15,2,3,0,0,10,16,5,3,12,13,505,617,11,11,10,15,4,4,7,4,19,19,away,Italy-A
Lazio,Internazionale," sexta-feira Agosto 26, 2022",3,1,0.48,0.52,0.86,0.88,0.64,0.37,20,9,2,1,0,0,5,12,2,4,10,23,622,670,8,13,20,9,0,0,8,4,9,13,home,Italy-A
Internazionale,Lazio," sexta-feira Agosto 26, 2022",1,3,0.52,0.48,0.88,0.86,0.37,0.64,9,20,1,2,0,0,12,5,4,2,23,10,670,622,13,8,9,20,0,0,4,8,13,9,away,Italy-A
Juventus,Roma," sábado Agosto 27, 2022",1,1,0.57,0.43,0.84,0.8,0.21,0.5,13,33,2,2,0,0,16,7,4,5,30,9,661,536,15,13,13,33,0,1,2,9,23,20,home,Italy-A
Roma,Juventus," sábado Agosto 27, 2022",1,1,0.43,0.57,0.8,0.84,0.5,0.21,33,13,2,2,0,0,7,16,5,4,9,30,536,661,13,15,33,13,1,0,9,2,20,23,away,Italy-A
Cremonese,Torino," sábado Agosto 27, 2022",1,2,0.53,0.47,0.68,0.67,0.38,0.36,21,28,0,3,0,0,9,21,3,3,25,12,562,519,23,22,21,28,1,0,6,10,21,23,home,Italy-A
Torino,Cremonese," sábado Agosto 27, 2022",2,1,0.47,0.53,0.67,0.68,0.36,0.38,28,21,3,0,0,0,21,9,3,3,12,25,519,562,22,23,28,21,0,1,10,6,23,21,away,Italy-A
Milan,Bologna," sábado Agosto 27, 2022",2,0,0.48,0.52,0.81,0.81,0.37,0.0,2,15,2,1,0,0,13,9,5,1,19,4,564,596,12,4,2,15,2,2,0,9,18,16,home,Italy-A
Bologna,Milan," sábado Agosto 27, 2022",0,2,0.52,0.48,0.81,0.81,0.0,0.37,15,2,1,2,0,0,9,13,1,5,4,19,596,564,4,12,15,2,2,2,9,0,16,18,away,Italy-A
Spezia,Sassuolo," sábado Agosto 27, 2022",2,2,0.43,0.57,0.75,0.82,0.17,0.38,26,13,2,1,0,0,17,10,2,6,10,22,540,703,6,15,26,13,3,1,10,4,20,25,home,Italy-A
Sassuolo,Spezia," sábado Agosto 27, 2022",2,2,0.57,0.43,0.82,0.75,0.38,0.17,13,26,1,2,0,0,10,17,6,2,22,10,703,540,15,6,13,26,1,3,4,10,25,20,away,Italy-A
Salernitana,Sampdoria," domingo Agosto 28, 2022",4,0,0.45,0.55,0.77,0.83,0.67,0.35,9,17,2,2,0,0,19,14,6,3,20,12,508,605,9,13,9,17,1,4,8,3,10,17,home,Italy-A
Sampdoria,Salernitana," domingo Agosto 28, 2022",0,4,0.55,0.45,0.83,0.77,0.35,0.67,17,9,2,2,0,0,14,19,3,6,12,20,605,508,13,9,17,9,4,1,3,8,17,10,away,Italy-A
HellasVerona,Atalanta," domingo Agosto 28, 2022",0,1,0.49,0.51,0.7,0.7,0.14,0.47,16,21,3,3,0,0,15,7,7,6,17,16,527,534,12,19,16,21,2,0,8,7,19,23,home,Italy-A
Atalanta,HellasVerona," domingo Agosto 28, 2022",1,0,0.51,0.49,0.7,0.7,0.47,0.14,21,16,3,3,0,0,7,15,6,7,16,17,534,527,19,12,21,16,0,2,7,8,23,19,away,Italy-A
Lecce,Empoli," domingo Agosto 28, 2022",1,1,0.41,0.59,0.71,0.79,0.33,0.33,14,27,1,2,0,0,10,5,3,5,27,15,478,627,14,15,14,27,4,1,6,2,25,27,home,Italy-A
Empoli,Lecce," domingo Agosto 28, 2022",1,1,0.59,0.41,0.79,0.71,0.33,0.33,27,14,2,1,0,0,5,10,5,3,15,27,627,478,15,14,27,14,1,4,2,6,27,25,away,Italy-A
Fiorentina,Napoli," domingo Agosto 28, 2022",0,0,0.48,0.52,0.82,0.84,0.5,0.15,14,11,2,3,0,0,12,14,2,3,11,11,609,642,6,14,14,11,1,2,5,6,11,24,home,Italy-A
Napoli,Fiorentina," domingo Agosto 28, 2022",0,0,0.52,0.48,0.84,0.82,0.15,0.5,11,14,3,2,0,0,14,12,3,2,11,11,642,609,14,6,11,14,2,1,6,5,24,11,away,Italy-A
Sassuolo,Milan," terça-feira Agosto 30, 2022",0,0,0.38,0.62,0.7,0.79,0.29,0.18,28,11,5,2,0,0,14,13,3,8,12,23,403,584,18,8,28,11,3,1,8,3,20,29,home,Italy-A
Milan,Sassuolo," terça-feira Agosto 30, 2022",0,0,0.62,0.38,0.79,0.7,0.18,0.29,11,28,2,5,0,0,13,14,8,3,23,12,584,403,8,18,11,28,1,3,3,8,29,20,away,Italy-A
