team_1,team_2,date,score_1,score_2,posse_1,posse_2,acerto_1,acerto_2,chutes_1,chutes_2,defesas_1,defesas_2,y_cards_1,y_cards_2,r_cards_1,r_cards_2,faltas_1,faltas_2,escanteios_1,escanteios_2,cruzamentos_1,cruzamentos_2,contatos_1,contatos_2,jogada_aerea_1,jogada_aerea_2,defesas_1,defesas_2,impedimento_1,impedimento_2,tiro_meta_1,tiro_meta_2,lateral_1,lateral_2,home_away,league
Mallorca,RealBetis," sábado Agosto 20, 2022",1,2,0.48,0.52,0.76,0.8,0.54,0.17,12,20,7,8,0,0,22,17,5,2,21,14,503,540,17,10,12,20,4,0,9,6,26,17,home,LaLiga
RealBetis,Mallorca," sábado Agosto 20, 2022",2,1,0.52,0.48,0.8,0.76,0.17,0.54,20,12,8,7,0,0,17,22,2,5,14,21,540,503,10,17,20,12,0,4,6,9,17,26,away,LaLiga
CeltaVigo,RealMadrid," sábado Agosto 20, 2022",1,4,0.51,0.49,0.86,0.87,0.07,0.36,11,20,2,2,0,0,12,8,2,2,23,7,671,685,8,5,11,20,0,1,5,8,13,13,home,LaLiga
RealMadrid,CeltaVigo," sábado Agosto 20, 2022",4,1,0.49,0.51,0.87,0.86,0.36,0.07,20,11,2,2,0,0,8,12,2,2,7,23,685,671,5,8,20,11,1,0,8,5,13,13,away,LaLiga
AthleticClub,Valencia," domingo Agosto 21, 2022",1,0,0.38,0.62,0.72,0.82,0.17,0.0,23,15,5,2,0,0,11,15,6,3,17,28,460,677,18,9,23,15,6,0,8,2,19,26,home,LaLiga
Valencia,AthleticClub," domingo Agosto 21, 2022",0,1,0.62,0.38,0.82,0.72,0.0,0.17,15,23,2,5,0,0,15,11,3,6,28,17,677,460,9,18,15,23,0,6,2,8,26,19,away,LaLiga
AtléticoMadrid,Villarreal," domingo Agosto 21, 2022",0,2,0.51,0.49,0.83,0.89,0.38,0.26,11,32,2,3,1,0,8,11,5,6,30,9,618,631,12,11,11,32,2,1,7,9,16,5,home,LaLiga
Villarreal,AtléticoMadrid," domingo Agosto 21, 2022",2,0,0.49,0.51,0.89,0.83,0.26,0.38,32,11,3,2,0,1,11,8,6,5,9,30,631,618,11,12,32,11,1,2,9,7,5,16,away,LaLiga
RealSociedad,Barcelona," domingo Agosto 21, 2022",1,4,0.42,0.58,0.8,0.89,0.5,0.47,12,14,2,1,0,0,15,9,3,6,10,8,517,702,8,7,12,14,5,1,4,5,18,24,home,LaLiga
Barcelona,RealSociedad," domingo Agosto 21, 2022",4,1,0.58,0.42,0.89,0.8,0.47,0.5,14,12,1,2,0,0,9,15,6,3,8,10,702,517,7,8,14,12,1,5,5,4,24,18,away,LaLiga
Elche,Almería," segunda-feira Agosto 22, 2022",1,1,0.54,0.46,0.8,0.79,0.23,0.58,11,23,1,4,0,1,12,16,6,5,23,12,574,498,9,7,11,23,7,3,3,14,14,17,home,LaLiga
Almería,Elche," segunda-feira Agosto 22, 2022",1,1,0.46,0.54,0.79,0.8,0.58,0.23,23,11,4,1,1,0,16,12,5,6,12,23,498,574,7,9,23,11,3,7,14,3,17,14,away,LaLiga
Girona,Getafe," segunda-feira Agosto 22, 2022",3,1,0.66,0.34,0.86,0.71,0.5,0.43,21,20,2,6,0,1,16,18,5,2,16,14,673,387,8,16,21,20,2,1,5,7,12,22,home,LaLiga
Getafe,Girona," segunda-feira Agosto 22, 2022",1,3,0.34,0.66,0.71,0.86,0.43,0.5,20,21,6,2,1,0,18,16,2,5,14,16,387,673,16,8,20,21,1,2,7,5,22,12,away,LaLiga
Girona,CeltaVigo," sexta-feira Agosto 26, 2022",0,1,0.53,0.47,0.83,0.8,0.27,0.55,12,12,2,1,0,0,16,13,2,4,18,13,643,593,11,10,12,12,1,1,2,7,18,21,home,LaLiga
CeltaVigo,Girona," sexta-feira Agosto 26, 2022",1,0,0.47,0.53,0.8,0.83,0.55,0.27,12,12,1,2,0,0,13,16,4,2,13,18,593,643,10,11,12,12,1,1,7,2,21,18,away,LaLiga
RealBetis,Osasuna," sexta-feira Agosto 26, 2022",1,0,0.55,0.45,0.81,0.75,0.14,0.17,31,14,0,3,1,0,9,21,2,4,9,25,610,515,14,10,31,14,2,1,9,13,25,22,home,LaLiga
Osasuna,RealBetis," sexta-feira Agosto 26, 2022",0,1,0.45,0.55,0.75,0.81,0.17,0.14,14,31,3,0,0,1,21,9,4,2,25,9,515,610,10,14,14,31,1,2,13,9,22,25,away,LaLiga
Elche,RealSociedad," sábado Agosto 27, 2022",0,1,0.45,0.55,0.78,0.82,0.42,0.5,14,13,3,3,0,0,14,18,4,6,13,12,529,627,11,6,14,13,2,4,6,6,25,14,home,LaLiga
RealSociedad,Elche," sábado Agosto 27, 2022",1,0,0.55,0.45,0.82,0.78,0.5,0.42,13,14,3,3,0,0,18,14,6,4,12,13,627,529,6,11,13,14,4,2,6,6,14,25,away,LaLiga
RayoVallecano,Mallorca," sábado Agosto 27, 2022",0,2,0.65,0.35,0.79,0.72,0.0,0.44,11,41,1,3,0,0,11,18,7,3,46,10,712,462,11,13,11,41,1,2,6,8,24,17,home,LaLiga
Mallorca,RayoVallecano," sábado Agosto 27, 2022",2,0,0.35,0.65,0.72,0.79,0.44,0.0,41,11,3,1,0,0,18,11,3,7,10,46,462,712,13,11,41,11,2,1,8,6,17,24,away,LaLiga
Almería,Sevilla," sábado Agosto 27, 2022",2,1,0.33,0.67,0.68,0.86,0.45,0.38,16,8,5,8,0,0,18,11,5,2,14,22,369,672,11,15,16,8,4,5,8,6,17,13,home,LaLiga
Sevilla,Almería," sábado Agosto 27, 2022",1,2,0.67,0.33,0.86,0.68,0.38,0.45,8,16,8,5,0,0,11,18,2,5,22,14,672,369,15,11,8,16,5,4,6,8,13,17,away,LaLiga
Getafe,Villarreal," domingo Agosto 28, 2022",0,0,0.36,0.64,0.7,0.85,0.25,0.55,14,10,1,5,0,0,11,19,1,4,10,12,378,602,5,9,14,10,5,0,8,7,20,25,home,LaLiga
Villarreal,Getafe," domingo Agosto 28, 2022",0,0,0.64,0.36,0.85,0.7,0.55,0.25,10,14,5,1,0,0,19,11,4,1,12,10,602,378,9,5,10,14,0,5,7,8,25,20,away,LaLiga
Barcelona,Valladolid," domingo Agosto 28, 2022",4,0,0.67,0.33,0.87,0.73,0.38,0.25,5,28,0,3,0,0,9,8,14,4,30,10,799,466,13,8,5,28,1,3,5,15,24,24,home,LaLiga
Valladolid,Barcelona," domingo Agosto 28, 2022",0,4,0.33,0.67,0.73,0.87,0.25,0.38,28,5,3,0,0,0,8,9,4,14,10,30,466,799,8,13,28,5,3,1,15,5,24,24,away,LaLiga
Espanyol,RealMadrid," domingo Agosto 28, 2022",1,3,0.36,0.64,0.75,0.88,0.27,0.32,19,12,0,0,1,0,15,12,7,7,17,18,454,697,7,13,19,12,0,6,2,2,15,18,home,LaLiga
RealMadrid,Espanyol," domingo Agosto 28, 2022",3,1,0.64,0.36,0.88,0.75,0.32,0.27,12,19,0,0,0,1,12,15,7,7,18,17,697,454,13,7,12,19,6,0,2,2,18,15,away,LaLiga
Cádiz,AthleticClub," segunda-feira Agosto 29, 2022",0,4,0.38,0.62,0.75,0.85,0.33,0.37,14,18,2,1,0,0,18,4,0,6,13,19,483,727,19,11,14,18,0,3,10,2,25,14,home,LaLiga
AthleticClub,Cádiz," segunda-feira Agosto 29, 2022",4,0,0.62,0.38,0.85,0.75,0.37,0.33,18,14,1,2,0,0,4,18,6,0,19,13,727,483,11,19,18,14,3,0,2,10,14,25,away,LaLiga
Valencia,AtléticoMadrid," segunda-feira Agosto 29, 2022",0,1,0.69,0.31,0.85,0.71,0.17,0.54,3,33,4,3,0,0,15,17,6,2,28,6,712,384,11,10,3,33,1,7,4,6,19,20,home,LaLiga
AtléticoMadrid,Valencia," segunda-feira Agosto 29, 2022",1,0,0.31,0.69,0.71,0.85,0.54,0.17,33,3,3,4,0,0,17,15,2,6,6,28,384,712,10,11,33,3,7,1,6,4,20,19,away,LaLiga
CeltaVigo,Cádiz," sexta-feira Setembro 2, 2022",3,0,0.58,0.42,0.83,0.78,0.56,0.0,11,10,1,2,0,0,13,23,2,2,15,12,656,510,10,16,11,10,4,1,7,4,16,25,home,LaLiga
Cádiz,CeltaVigo," sexta-feira Setembro 2, 2022",0,3,0.42,0.58,0.78,0.83,0.0,0.56,10,11,2,1,0,0,23,13,2,2,12,15,510,656,16,10,10,11,1,4,4,7,25,16,away,LaLiga
Mallorca,Girona," sábado Setembro 3, 2022",1,1,0.51,0.49,0.82,0.83,0.4,0.33,15,13,4,2,0,0,22,10,6,3,19,9,525,515,12,12,15,13,1,2,10,4,14,21,home,LaLiga
Girona,Mallorca," sábado Setembro 3, 2022",1,1,0.49,0.51,0.83,0.82,0.33,0.4,13,15,2,4,0,0,10,22,3,6,9,19,515,525,12,12,13,15,2,1,4,10,21,14,away,LaLiga
RealMadrid,RealBetis," sábado Setembro 3, 2022",2,1,0.49,0.51,0.88,0.87,0.18,0.5,3,17,0,1,0,0,8,12,9,2,16,5,636,660,10,6,3,17,2,3,3,15,11,16,home,LaLiga
RealBetis,RealMadrid," sábado Setembro 3, 2022",1,2,0.51,0.49,0.87,0.88,0.5,0.18,17,3,1,0,0,0,12,8,2,9,5,16,660,636,6,10,17,3,3,2,15,3,16,11,away,LaLiga
RealSociedad,AtléticoMadrid," sábado Setembro 3, 2022",1,1,0.54,0.46,0.76,0.74,0.42,0.47,9,19,5,4,0,0,18,13,7,6,14,14,584,514,11,22,9,19,4,0,4,8,23,26,home,LaLiga
AtléticoMadrid,RealSociedad," sábado Setembro 3, 2022",1,1,0.46,0.54,0.74,0.76,0.47,0.42,19,9,4,5,0,0,13,18,6,7,14,14,514,584,22,11,19,9,0,4,8,4,26,23,away,LaLiga
Sevilla,Barcelona," sábado Setembro 3, 2022",0,3,0.46,0.54,0.76,0.82,0.44,0.28,8,10,2,4,0,0,15,14,4,4,15,10,506,588,5,7,8,10,6,2,14,4,19,15,home,LaLiga
Barcelona,Sevilla," sábado Setembro 3, 2022",3,0,0.54,0.46,0.82,0.76,0.28,0.44,10,8,4,2,0,0,14,15,4,4,10,15,588,506,7,5,10,8,2,6,4,14,15,19,away,LaLiga
Osasuna,RayoVallecano," domingo Setembro 4, 2022",2,1,0.47,0.53,0.69,0.76,0.38,0.6,14,21,2,2,0,0,14,16,4,0,18,12,471,522,17,16,14,21,3,2,4,8,27,22,home,LaLiga
RayoVallecano,Osasuna," domingo Setembro 4, 2022",1,2,0.53,0.47,0.76,0.69,0.6,0.38,21,14,2,2,0,0,16,14,0,4,12,18,522,471,16,17,21,14,2,3,8,4,22,27,away,LaLiga
AthleticClub,Espanyol," domingo Setembro 4, 2022",0,1,0.66,0.34,0.81,0.66,0.12,0.22,13,39,3,2,0,0,12,12,4,2,31,9,731,455,14,19,13,39,3,2,4,14,31,19,home,LaLiga
Espanyol,AthleticClub," domingo Setembro 4, 2022",1,0,0.34,0.66,0.66,0.81,0.22,0.12,39,13,2,3,0,0,12,12,2,4,9,31,455,731,19,14,39,13,2,3,14,4,19,31,away,LaLiga
Villarreal,Elche," domingo Setembro 4, 2022",4,0,0.53,0.47,0.84,0.84,0.56,0.0,20,22,1,3,0,0,10,9,6,4,15,25,614,547,8,8,20,22,5,2,8,7,11,17,home,LaLiga
Elche,Villarreal," domingo Setembro 4, 2022",0,4,0.47,0.53,0.84,0.84,0.0,0.56,22,20,3,1,0,0,9,10,4,6,25,15,547,614,8,8,22,20,2,5,7,8,17,11,away,LaLiga
Valencia,Getafe," domingo Setembro 4, 2022",5,1,0.69,0.31,0.86,0.7,0.38,0.57,8,16,3,6,0,0,11,22,9,1,22,15,658,337,15,16,8,16,1,1,1,6,11,16,home,LaLiga
Getafe,Valencia," domingo Setembro 4, 2022",1,5,0.31,0.69,0.7,0.86,0.57,0.38,16,8,6,3,0,0,22,11,1,9,15,22,337,658,16,15,16,8,1,1,6,1,16,11,away,LaLiga
Valladolid,Almería," segunda-feira Setembro 5, 2022",1,0,0.51,0.49,0.76,0.73,0.43,0.0,18,17,1,6,0,0,11,19,2,8,20,25,520,487,14,21,18,17,6,4,9,12,14,28,home,LaLiga
Almería,Valladolid," segunda-feira Setembro 5, 2022",0,1,0.49,0.51,0.73,0.76,0.0,0.43,17,18,6,1,0,0,19,11,8,2,25,20,487,520,21,14,17,18,4,6,12,9,28,14,away,LaLiga
Girona,Valladolid," sexta-feira Setembro 9, 2022",2,1,0.45,0.55,0.77,0.8,0.36,0.29,26,17,0,2,0,0,11,15,3,12,13,27,515,606,17,14,26,17,3,0,4,7,18,28,home,LaLiga
Valladolid,Girona," sexta-feira Setembro 9, 2022",1,2,0.55,0.45,0.8,0.77,0.29,0.36,17,26,2,0,0,0,15,11,12,3,27,13,606,515,14,17,17,26,0,3,7,4,28,18,away,LaLiga
RayoVallecano,Valencia," sábado Setembro 10, 2022",2,1,0.46,0.54,0.7,0.75,0.43,0.24,18,26,5,2,0,0,22,11,7,7,24,23,470,545,9,19,18,26,1,2,10,6,30,27,home,LaLiga
Valencia,RayoVallecano," sábado Setembro 10, 2022",1,2,0.54,0.46,0.75,0.7,0.24,0.43,26,18,2,5,0,0,11,22,7,7,23,24,545,470,19,9,26,18,2,1,6,10,27,30,away,LaLiga
Espanyol,Sevilla," sábado Setembro 10, 2022",2,3,0.58,0.42,0.77,0.73,0.22,0.64,12,38,4,5,0,0,11,14,9,3,38,9,578,451,17,8,12,38,3,1,3,9,24,28,home,LaLiga
Sevilla,Espanyol," sábado Setembro 10, 2022",3,2,0.42,0.58,0.73,0.77,0.64,0.22,38,12,5,4,0,0,14,11,3,9,9,38,451,578,8,17,38,12,1,3,9,3,28,24,away,LaLiga
Cádiz,Barcelona," sábado Setembro 10, 2022",0,4,0.3,0.7,0.61,0.84,0.0,0.5,16,20,1,2,0,0,12,13,5,6,15,10,369,704,13,17,16,20,3,3,8,5,17,21,home,LaLiga
Barcelona,Cádiz," sábado Setembro 10, 2022",4,0,0.7,0.3,0.84,0.61,0.5,0.0,20,16,2,1,0,0,13,12,6,5,10,15,704,369,17,13,20,16,3,3,5,8,21,17,away,LaLiga
AtléticoMadrid,CeltaVigo," sábado Setembro 10, 2022",4,1,0.46,0.54,0.82,0.85,0.4,0.21,26,11,2,3,0,0,11,6,4,7,7,24,597,690,12,10,26,11,0,1,10,2,18,23,home,LaLiga
CeltaVigo,AtléticoMadrid," sábado Setembro 10, 2022",1,4,0.54,0.46,0.85,0.82,0.21,0.4,11,26,3,2,0,0,6,11,7,4,24,7,690,597,10,12,11,26,1,0,2,10,23,18,away,LaLiga
RealMadrid,Mallorca," domingo Setembro 11, 2022",4,1,0.68,0.32,0.91,0.79,0.32,0.4,6,19,3,5,0,0,7,15,4,3,7,12,761,422,5,4,6,19,0,1,2,10,15,8,home,LaLiga
Mallorca,RealMadrid," domingo Setembro 11, 2022",1,4,0.32,0.68,0.79,0.91,0.4,0.32,19,6,5,3,0,0,15,7,3,4,12,7,422,761,4,5,19,6,1,0,10,2,8,15,away,LaLiga
Elche,AthleticClub," domingo Setembro 11, 2022",1,4,0.47,0.53,0.79,0.79,0.22,0.47,11,14,3,0,0,0,15,9,5,5,21,17,543,586,10,9,11,14,2,5,7,6,21,19,home,LaLiga
AthleticClub,Elche," domingo Setembro 11, 2022",4,1,0.53,0.47,0.79,0.79,0.47,0.22,14,11,0,3,0,0,9,15,5,5,17,21,586,543,9,10,14,11,5,2,6,7,19,21,away,LaLiga
Getafe,RealSociedad," domingo Setembro 11, 2022",2,1,0.34,0.66,0.68,0.83,0.29,0.46,20,17,4,1,0,0,9,16,3,7,11,26,391,652,17,21,20,17,1,0,12,5,27,24,home,LaLiga
RealSociedad,Getafe," domingo Setembro 11, 2022",1,2,0.66,0.34,0.83,0.68,0.46,0.29,17,20,1,4,0,0,16,9,7,3,26,11,652,391,21,17,17,20,0,1,5,12,24,27,away,LaLiga
RealBetis,Villarreal," domingo Setembro 11, 2022",1,0,0.47,0.53,0.82,0.82,0.31,0.14,31,24,1,1,0,0,11,14,9,8,21,24,531,569,10,13,31,24,4,6,7,4,13,17,home,LaLiga
Villarreal,RealBetis," domingo Setembro 11, 2022",0,1,0.53,0.47,0.82,0.82,0.14,0.31,24,31,1,1,0,0,14,11,8,9,24,21,569,531,13,10,24,31,6,4,4,7,17,13,away,LaLiga
Almería,Osasuna," segunda-feira Setembro 12, 2022",0,1,0.61,0.39,0.81,0.7,0.29,0.27,24,20,0,2,0,0,4,9,5,10,19,27,686,485,19,13,24,20,2,3,11,7,19,23,home,LaLiga
Osasuna,Almería," segunda-feira Setembro 12, 2022",1,0,0.39,0.61,0.7,0.81,0.27,0.29,20,24,2,0,0,0,9,4,10,5,27,19,485,686,13,19,20,24,3,2,7,11,23,19,away,LaLiga
Valladolid,Cádiz," sexta-feira Setembro 16, 2022",0,1,0.57,0.43,0.81,0.73,0.33,0.14,15,23,1,4,0,0,12,19,8,2,33,16,578,456,9,14,15,23,2,2,7,10,21,18,home,LaLiga
Cádiz,Valladolid," sexta-feira Setembro 16, 2022",1,0,0.43,0.57,0.73,0.81,0.14,0.33,23,15,4,1,0,0,19,12,2,8,16,33,456,578,14,9,23,15,2,2,10,7,18,21,away,LaLiga
Mallorca,Almería," sábado Setembro 17, 2022",1,0,0.44,0.56,0.8,0.85,0.4,0.22,14,9,3,6,0,0,15,14,5,2,15,16,506,616,9,6,14,9,2,3,12,5,13,20,home,LaLiga
Almería,Mallorca," sábado Setembro 17, 2022",0,1,0.56,0.44,0.85,0.8,0.22,0.4,9,14,6,3,0,0,14,15,2,5,16,15,616,506,6,9,9,14,3,2,5,12,20,13,away,LaLiga
Barcelona,Elche," sábado Setembro 17, 2022",3,0,0.76,0.24,0.89,0.65,0.36,1.0,1,19,2,2,0,1,11,9,6,0,22,3,861,341,9,7,1,19,5,3,1,13,23,16,home,LaLiga
Elche,Barcelona," sábado Setembro 17, 2022",0,3,0.24,0.76,0.65,0.89,1.0,0.36,19,1,2,2,1,0,9,11,0,6,3,22,341,861,7,9,19,1,3,5,13,1,16,23,away,LaLiga
Valencia,CeltaVigo," sábado Setembro 17, 2022",3,0,0.65,0.35,0.82,0.68,0.5,0.33,12,20,3,2,0,1,18,23,5,4,20,12,609,383,13,15,12,20,2,0,5,5,21,23,home,LaLiga
CeltaVigo,Valencia," sábado Setembro 17, 2022",0,3,0.35,0.65,0.68,0.82,0.33,0.5,20,12,2,3,1,0,23,18,4,5,12,20,383,609,15,13,20,12,0,2,5,5,23,21,away,LaLiga
AthleticClub,RayoVallecano," sábado Setembro 17, 2022",3,2,0.39,0.61,0.73,0.8,0.5,0.18,24,10,1,2,0,0,13,13,2,7,12,31,478,652,15,10,24,10,3,3,5,5,20,22,home,LaLiga
RayoVallecano,AthleticClub," sábado Setembro 17, 2022",2,3,0.61,0.39,0.8,0.73,0.18,0.5,10,24,2,1,0,0,13,13,7,2,31,12,652,478,10,15,10,24,3,3,5,5,22,20,away,LaLiga
